,Title,Production company,Cast and crew,genres
490,Queen & Slim,Universal Pictures / Entertainment One / Bron Creative,"Melina Matsoukas (director); Lena Waithe (screenplay); Daniel Kaluuya, Jodie Turner-Smith, Bokeem Woodbine, Chloë Sevigny, Flea, Sturgill Simpson, Indya Moore",Drama Romance Crime
491,The Two Popes,Netflix,"Fernando Meirelles (director); Anthony McCarten (screenplay); Anthony Hopkins, Jonathan Pryce",Drama Comedy History
492,Playmobil: The Movie,STX Entertainment,"Lino DiSalvo (director), Ramaa Mosley (co-director); Blaise Hemingway (screenplay); Anya Taylor-Joy, Daniel Radcliffe, Gabriel Bateman, Jim Gaffigan, Meghan Trainor, Adam Lambert",Family Animation Comedy Adventure
493,The Aeronauts,Amazon Studios,"Tom Harper (director); Jack Thorne (screenplay); Felicity Jones, Eddie Redmayne, Himesh Patel, Tom Courtenay",Adventure Drama Romance
494,A Million Little Pieces,Momentum Pictures / The Picture Company,"Sam Taylor-Johnson (director/screenplay); Aaron Taylor-Johnson (screenplay); Aaron Taylor-Johnson, Billy Bob Thornton, Odessa Young, Giovanni Ribisi, Juliette Lewis, Charlie Hunnam",Drama
495,Daniel Isn't Real,Samuel Goldwyn Films,"Adam Egypt Mortimer (director/screenplay); Brian DeLeeuw (screenplay); Miles Robbins, Patrick Schwarzenegger, Sasha Lane, Mary Stuart Masterson, Hannah Marks, Chukwudi Iwuji, Peter McRobbie",Fantasy Horror Mystery Thriller
496,Jumanji: The Next Level,Columbia Pictures / Seven Bucks Productions,"Jake Kasdan (director/screenplay); Scott Rosenberg, Jeff Pinkner (screenplay); Dwayne Johnson, Jack Black, Kevin Hart, Karen Gillan, Nick Jonas, Awkwafina, Rory McCann, Alex Wolff, Morgan Turner, Ser'Darius Blain, Madison Iseman, Danny Glover, Danny DeVito",Adventure Comedy Fantasy
497,Richard Jewell,Warner Bros. Pictures / Malpaso Productions,"Clint Eastwood (director); Billy Ray (screenplay); Paul Walter Hauser, Sam Rockwell, Kathy Bates, Jon Hamm, Olivia Wilde",Drama History Crime
498,Black Christmas,Universal Pictures / Blumhouse Productions,"Sophia Takal (director/screenplay); April Wolfe (screenplay); Imogen Poots, Lily Donoghue, Aleyse Shannon, Brittany O'Grady, Caleb Eberhardt, Cary Elwes",Horror Thriller Mystery
499,6 Underground,Netflix / Skydance Media,"Michael Bay (director); Rhett Reese, Paul Wernick (screenplay); Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Adria Arjona, Payman Maadi, Corey Hawkins, Ben Hardy, Dave Franco",Action Thriller Comedy
500,Bombshell,Lionsgate / Bron Creative / Annapurna Pictures,"Jay Roach (director); Charles Randolph (screenplay); Charlize Theron, Nicole Kidman, Margot Robbie, John Lithgow, Kate McKinnon, Connie Britton, Mark Duplass, Rob Delaney, Malcolm McDowell, Allison Janney",Drama History
501,Uncut Gems,A24 / Netflix,"Safdie brothers (directors/screenplay); Ronald Bronstein (screenplay); Adam Sandler, Lakeith Stanfield, Julia Fox, Kevin Garnett, Idina Menzel, Eric Bogosian",Crime Thriller Drama
502,Seberg,Amazon Studios,"Benedict Andrews (director); Joe Shrapnel, Anna Waterhouse (screenplay); Kristen Stewart, Jack O'Connell, Margaret Qualley, Zazie Beetz, Vince Vaughn, Anthony Mackie",Thriller Drama
503,A Hidden Life,Fox Searchlight Pictures,"Terrence Malick (director/screenplay); August Diehl, Valerie Pachner, Matthias Schoenaerts",Drama War History
504,Star Wars: The Rise of Skywalker,Lucasfilm / Bad Robot Productions,"J. J. Abrams (director/screenplay), Chris Terrio (screenplay); Carrie Fisher, Mark Hamill, Adam Driver, Daisy Ridley, John Boyega, Oscar Isaac, Anthony Daniels, Naomi Ackie, Domhnall Gleeson, Richard E. Grant, Lupita Nyong'o, Keri Russell, Joonas Suotamo, Kelly Marie Tran, Ian McDiarmid, Billy Dee Williams",Action Adventure Science Fiction
505,Cats,Universal Pictures / Amblin Entertainment / Working Title Films,"Tom Hooper (director/screenplay); Lee Hall (screenplay); James Corden, Judi Dench, Jason Derulo, Idris Elba, Jennifer Hudson, Ian McKellen, Taylor Swift, Rebel Wilson, Ray Winstone, Francesca Hayward",Family Comedy
506,Togo,Walt Disney Pictures / Disney+,"Ericson Core (director); Tom Flynn (screenplay); Willem Dafoe, Julianne Nicholson, Christopher Heyerdahl, Michael Gaston, Michael McElhatton, Jamie McShane, Michael Greyeyes, Thorbjørn Harr, Shaun Benson, Nikolai Nikolaeff",Adventure Family
507,Spies in Disguise,20th Century Fox / Blue Sky Studios / Chernin Entertainment,"Nick Bruno, Troy Quane (directors); Brad Copeland (screenplay); Will Smith, Tom Holland, Rashida Jones, Ben Mendelsohn, Reba McEntire, Rachel Brosnahan, Karen Gillan, DJ Khaled, Masi Oka",Animation Action Adventure Comedy Family
508,Little Women,Columbia Pictures / Regency Enterprises,"Greta Gerwig (director/screenplay); Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen, Laura Dern, Timothée Chalamet, Meryl Streep, Tracy Letts, Bob Odenkirk, James Norton, Louis Garrel, Chris Cooper",Drama Romance
509,1917,Universal Pictures / DreamWorks Pictures,"Sam Mendes (director/screenplay); Krysty Wilson-Cairns (screenplay); George MacKay, Dean-Charles Chapman, Mark Strong, Andrew Scott, Richard Madden, Claire Duburcq, Colin Firth, Benedict Cumberbatch",War Drama Action Thriller
510,Just Mercy,Warner Bros. Pictures / Participant Media,"Destin Daniel Cretton (director/screenplay), Andrew Lanham (screenplay); Michael B. Jordan, Jamie Foxx, Brie Larson, Rob Morgan, Tim Blake Nelson, Rafe Spall, O'Shea Jackson Jr., C.J. LeBlanc",Drama Crime History
511,Clemency,Neon,"Chinonye Chukwu (director/screenplay); Alfre Woodard, Wendell Pierce, Aldis Hodge, Richard Schiff, Danielle Brooks",Drama
